Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8034066713981547,0.6456456456456456,0.5748663101604278,0.6082036775106082,0.8487121857965848
Decision Tree,0.7934705464868701,0.6143250688705234,0.5962566844919787,0.6051560379918589,0.8345061871916093
Random Forest,0.8097941802696949,0.672077922077922,0.553475935828877,0.6070381231671554,0.8518716577540109
Gradient Boosting,0.7991483321504613,0.6511627906976745,0.5240641711229946,0.5807407407407408,0.8502170037975665
